Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (QAlity Test),Inward issue link (QAlity Test),Outward issue link (QAlity Test),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (URL),Custom field (URL),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"Walidacja pola ""Description"" test case",KAP-36,10036,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:53 PM,27/Feb/23 6:53 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-15,,,,,,,,,,,{},,,,,,,,0|i0007z:,,,,,,,,,,,,,,To Do
Data w formularzu dodawania transakcji- wybór późniejszej daty (SAD PATH),KAP-35,10035,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:46 PM,27/Feb/23 6:52 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-14,,,,,,,,,,,{},,,,,,,,0|i0007r:,,,,,,,,,,,,,,To Do
Data w formularzu dodawania transakcji  test case,KAP-34,10034,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:41 PM,27/Feb/23 6:41 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-14,,,,,,,,,,,{},,,,,,,,0|i0007j:,,,,,,,,,,,,,,To Do
"Dodawanie wartości w polu ""Saldo"" za pomocą INPUT  test case",KAP-33,10033,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:28 PM,27/Feb/23 6:28 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-13,,,,,,,,,,,{},,,,,,,,0|i0007b:,,,,,,,,,,,,,,To Do
Poprawny komunikat powitalny - Test Case,KAP-32,10032,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 6:11 PM,27/Feb/23 6:16 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-12,,,,,,,,,,,{},,,,,,,,0|i00073:,,,,,,,,,,,,,,To Do
Rejestracja użytkownika istniejącego w bazie  test case,KAP-31,10031,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:43 PM,27/Feb/23 2:43 PM,27/Feb/23 6:21 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-28,,,,,,,,,,,{},,,,,,,,0|i0006v:,,,,,,,,,,,,,,To Do
"Walidacja buttonu ""REJESTRACJA"" SAD PATH",KAP-30,10030,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:39 PM,27/Feb/23 2:42 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0006n:,,,,,,,,,,,,,,To Do
"Walidacja buttonu ""REJESTRACJA"" HAPPY PATH",KAP-29,10029,QAlity Test,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:31 PM,27/Feb/23 2:33 PM,27/Feb/23 4:28 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,KAP-25,,,,,,,,,,,{},,,,,,,,0|i0006f:,,,,,,,,,,,,,,To Do
Rejestracja użytkownika istniejącego w bazie ,KAP-28,10028,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:30 PM,27/Feb/23 2:43 PM,27/Feb/23 2:43 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,KAP-31,,,,,,,,,,,,,{},,,,,,,,0|i00067:,,,,,,,,,,,,10005,Rejestracja użytkownika ,To Do
Logowanie niezarejestrowanego użytkownika,KAP-27,10027,Subtask,To Do,KAP,Kapusta,software,Aleksandra Krzysztof,638b1acd77acd224b342086a,,Medium,,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,Aleksandra Krzysztof,638b1acd77acd224b342086a,27/Feb/23 2:29 PM,27/Feb/23 2:30 PM,27/Feb/23 7:22 PM,,,0,,,Aleksandra Krzysztof,638b1acd77acd224b342086a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0005z:,,,,,,,,,,,,10006,Logowanie użytkownika,To Do
